DSP_mat_trans_c,14152,12657,"1,118116",708819,6939,-scalarrepl-ssa, -gvn, -loop-rotate, -reg2mem, -instcombine, -gvn, -loop-rotate, -reg2mem, -instcombine, -loop-unswitch, -loop-rotate, -scalarrepl, -indvars, -licm, -loop-rotate, -gvn, -loop-unswitch, -reg2mem, -instcombine, -loop-rotate, -scalarrepl, -licm, -loop-unswitch, -reg2mem, -jump-threading, -scalarrepl,12658,-lowerinvoke, -globaldce, -scalarrepl-ssa, -lazy-value-info, -loop-simplify, -loop-instsimplify, -domtree, -memcpyopt, -mergereturn, -gvn, -loop-rotate, -die, -deadargelim, -deadargelim, -reg2mem, -instcombine, -loop-unswitch, -tailcallelim, -gvn, -loop-rotate, -die, -deadargelim, -targetlibinfo, -reg2mem, -reg2mem, -instcombine, -loop-unswitch, -tailcallelim, -loop-rotate, -loops, -mergefunc, -loop-deletion, -scalarrepl, -constprop, -partial-inliner, -indvars, -memcpyopt, -loop-rotate, -loops, -jump-threading, -loop-deletion, -loop-rotate, -loops, -jump-threading, -loop-deletion, -licm, -functionattrs, -targetlibinfo, -loop-rotate, -partial-inliner, -no-aa, -gvn, -objc-arc-aa, -adce, -die, -loop-unswitch, -tailcallelim, -reg2mem, -reg2mem, -instcombine, -loop-unswitch, -tailcallelim, -loop-rotate, -loops, -mergefunc, -loop-deletion, -scalarrepl, -constprop, -indvars, -memcpyopt, -loop-rotate, -loops, -jump-threading, -loop-deletion, -licm, -functionattrs, -targetlibinfo, -loop-rotate, -partial-inliner, -loop-rotate, -loops, -mergefunc, -loop-unswitch, -tailcallelim, -deadargelim, -reg2mem, -mergefunc, -memdep, -lazy-value-info, -memcpyopt, -ipsccp, -lcssa, -loweratomic, -strip-dead-prototypes, -loop-deletion, -mergefunc, -ipconstprop, -jump-threading, -scalarrepl, -loweratomic, -libcall-aa, -mergefunc, -loweratomic,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_trans_c,14152,11787,"1,200645",809450,6957,-scalarrepl-ssa, -simplifycfg, -loop-rotate, -reg2mem, -instcombine, -loop-rotate, -scalarrepl-ssa, -reg2mem, -instcombine, -loop-rotate, -scalarrepl-ssa, -reg2mem, -instcombine, -loop-rotate, -scalarrepl, -loop-unswitch, -loop-unswitch, -loop-unswitch, -reg2mem, -instcombine, -loop-rotate, -scalarrepl-ssa, -simplifycfg, -reg2mem, -instcombine, -loop-rotate, -scalarrepl-ssa, -reg2mem, -instcombine, -loop-rotate, -correlated-propagation, -scalarrepl-ssa, -loop-unswitch, -loop-unswitch, -reg2mem, -instcombine, -loop-rotate, -scalarrepl, -licm, -simplifycfg, -loop-unswitch, -early-cse, -loop-deletion, -constmerge, -loop-unswitch, -loop-extract,11787,-ipsccp, -constprop, -strip-dead-prototypes, -lowerinvoke, -prune-eh, -strip-dead-prototypes, -scalar-evolution, -memdep, -scalarrepl-ssa, -simplifycfg, -globaldce, -loop-rotate, -scalarrepl-ssa, -loop-unswitch, -instcombine, -reg2mem, -instcombine, -globaldce, -loop-rotate, -loop-unswitch, -instcombine, -globaldce, -loop-rotate, -scalarrepl, -memdep, -scalarrepl-ssa, -simplifycfg, -reg2mem, -instcombine, -globaldce, -loop-rotate, -loop-unswitch, -aa-eval, -instcombine, -globaldce, -loop-rotate, -scalarrepl, -memdep, -scalarrepl-ssa, -simplifycfg, -reg2mem, -instcombine, -globaldce, -loop-rotate, -scalarrepl, -loop-unswitch, -loop-unswitch, -loop-unswitch, -loop-unswitch, -instcombine, -reg2mem, -instcombine, -globaldce, -instcombine, -globaldce, -loop-rotate, -scalarrepl, -memdep, -scalarrepl-ssa, -simplifycfg, -simplifycfg, -lazy-value-info, -reg2mem, -instcombine, -globaldce, -loop-rotate, -loop-unswitch, -loop-unswitch, -instcombine, -globaldce, -loop-rotate, -scalarrepl, -memdep, -scalarrepl-ssa, -simplifycfg, -reg2mem, -instcombine, -globaldce, -loop-rotate, -correlated-propagation, -globaldce, -scalar-evolution, -memdep, -scalarrepl-ssa, -simplifycfg, -globaldce, -loop-rotate, -loop-unswitch, -loop-unswitch, -instcombine, -reg2mem, -instcombine, -globaldce, -loop-rotate, -loop-unswitch, -simplifycfg, -scalarrepl, -scalar-evolution, -memdep, -lower-expect, -ipsccp, -memdep, -simplifycfg, -globaldce, -lowerinvoke, -instsimplify, -lower-expect, -licm, -simplifycfg, -scalarrepl, -scalar-evolution, -memdep, -loop-unswitch, -deadargelim, -globalopt, -die, -early-cse, -loop-deletion, -lazy-value-info, -basicaa, -loop-rotate, -licm, -adce, -constmerge, -loop-unswitch, -loop-extract, -loop-idiom, -instsimplify,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mat_trans_c,14152,14028,"1,008839",526683,6421,-loop-rotate, -scalarrepl-ssa, -loop-unswitch, -instcombine, -loop-deletion, -indvars,14028,-loop-rotate, -scalarrepl-ssa, -loop-unswitch, -instcombine, -loop-deletion, -indvars,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxidx_c,1666,1097,"1,518687",204317,3686,-loop-rotate, -scalarrepl-ssa,1097,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxidx_c,1666,1097,"1,518687",206804,3753,-scalarrepl, -loop-rotate,1097,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxidx_c,1666,1097,"1,518687",199019,3573,-loop-rotate, -scalarrepl-ssa,1097,-loop-rotate, -scalarrepl-ssa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxval_c,1280,1082,"1,182994",204999,3453,-scalarrepl, -loop-rotate,1082,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxval_c,1280,1082,"1,182994",199712,3551,-loop-rotate, -scalarrepl,1082,-loop-rotate, -scalarrepl,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_maxval_c,1280,1082,"1,182994",229154,3879,-scalarrepl-ssa, -loop-rotate,1082,-scalarrepl-ssa, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minerror_c,25844,25834,"1,000387",501280,6151,-scalarrepl-ssa, -loop-reduce, -loop-rotate, -indvars, -loop-unroll,25834,-scalarrepl-ssa, -loop-reduce, -loop-rotate, -indvars, -loop-unroll,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minerror_c,25844,25834,"1,000387",560777,6734,-scalarrepl, -loop-reduce, -loop-rotate, -loop-unroll, -indvars,25834,-scalarrepl, -loop-reduce, -loop-rotate, -loop-unroll, -indvars, -constprop, -die,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minerror_c,25844,25834,"1,000387",539528,6122,-scalarrepl-ssa, -loop-reduce, -loop-rotate, -loop-unroll, -indvars,25834,-scalarrepl-ssa, -loop-reduce, -loop-rotate, -loop-unroll, -indvars, -licm,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minval_c,1285,1079,"1,190918",293048,5113,-scalarrepl-ssa, -loop-rotate, -indvars,1079,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minval_c,1285,1079,"1,190918",283716,4787,-scalarrepl-ssa, -loop-rotate, -indvars,1079,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_minval_c,1285,1079,"1,190918",269774,4485,-loop-rotate, -scalarrepl-ssa, -indvars,1079,-loop-rotate, -scalarrepl-ssa, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mul32_c,10567,10567,1,331943,4909,-loop-rotate, -scalarrepl, -indvars,10567,-loop-rotate, -scalarrepl, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mul32_c,10567,10567,1,320321,4691,-scalarrepl, -loop-rotate, -indvars,10567,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_mul32_c,10567,10567,1,302742,4368,-scalarrepl, -loop-rotate, -indvars,10567,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_neg32_c,17,17,1,205544,3440,-scalarrepl-ssa, -inline,17,-scalarrepl-ssa, -inline,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_neg32_c,17,17,1,198802,3335,-scalarrepl-ssa, -inline,17,-scalarrepl-ssa, -inline,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_neg32_c,17,17,1,208437,3487,-inline, -scalarrepl,17,-inline, -scalarrepl,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_q15tofl_c,676,676,1,295188,4909,-instcombine, -loop-rotate, -scalarrepl, -indvars,676,-instcombine, -loop-rotate, -scalarrepl, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_q15tofl_c,676,676,1,269110,4683,-instcombine, -scalarrepl, -loop-rotate, -indvars,676,-instcombine, -scalarrepl, -loop-rotate, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_q15tofl_c,676,676,1,320548,5349,-loop-rotate, -scalarrepl, -instcombine, -indvars,676,-loop-rotate, -scalarrepl, -instcombine, -indvars,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_vecsumsq_c,3888,3887,"1,000257",229991,3985,-scalarrepl, -loop-rotate,3887,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_vecsumsq_c,3888,3887,"1,000257",232872,3825,-scalarrepl, -loop-rotate,3887,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_vecsumsq_c,3888,3887,"1,000257",202831,3530,-scalarrepl, -loop-rotate,3887,-scalarrepl, -loop-rotate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_w_vec_c,6190,6190,1,275096,4213,-scalarrepl-ssa, -loop-rotate, -indvars,6190,-scalarrepl-ssa, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_w_vec_c,6190,6190,1,298464,4725,-scalarrepl, -loop-rotate, -indvars,6190,-scalarrepl, -loop-rotate, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP_w_vec_c,6190,6190,1,320215,4887,-loop-rotate, -scalarrepl-ssa, -indvars,6190,-loop-rotate, -scalarrepl-ssa, -indvars,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_boundary_c,9320,9318,"1,000215",705222,6552,-licm, -scalarrepl-ssa, -basicaa, -loop-rotate, -loop-unswitch, -instcombine, -loop-deletion,9318,-licm, -licm, -scalarrepl-ssa, -basicaa, -loop-rotate, -loop-unswitch, -instcombine, -loop-deletion,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_boundary_c,9320,9318,"1,000215",658356,6504,-loop-rotate, -scalarrepl, -loop-unswitch, -simplifycfg, -loop-deletion, -licm,9318,-loop-rotate, -scalarrepl, -loop-unswitch, -simplifycfg, -loop-deletion, -licm, -lowerbitsets,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_boundary_c,9320,9318,"1,000215",495694,6404,-loop-rotate, -scalarrepl-ssa, -lowerswitch, -loop-unswitch, -licm, -jump-threading, -loop-deletion,9318,-loop-rotate, -scalarrepl-ssa, -lowerswitch, -loop-unswitch, -licm, -jump-threading, -loop-deletion, -constmerge,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_conv_3x3_c,25269,24501,"1,031346",457612,5869,-loop-rotate, -scalarrepl-ssa, -loop-unroll, -gvn,24501,-loop-rotate, -scalarrepl-ssa, -loop-unroll, -gvn,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_conv_3x3_c,25269,24750,"1,02097",432991,5587,-scalarrepl-ssa, -jump-threading, -loop-rotate, -loop-unroll,24750,-scalarrepl-ssa, -jump-threading, -loop-rotate, -loop-unroll,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_conv_3x3_c,25269,23984,"1,053577",554609,6731,-loop-rotate, -gvn, -loop-reduce, -basicaa, -loop-unroll, -slsr, -gvn, -scalarrepl,23984,-loop-rotate, -gvn, -loop-reduce, -basicaa, -loop-unroll, -slsr, -gvn, -early-cse, -scalarrepl, -mergereturn,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_corr_gen_c,128110,119583,"1,071306",938123,6678,-scalarrepl-ssa, -loop-unswitch, -loop-rotate, -loop-reduce, -indvars, -gvn, -instcombine, -simplifycfg,119583,-scalarrepl-ssa, -loop-idiom, -loop-unswitch, -loop-rotate, -loop-reduce, -indvars, -basiccg, -scalarrepl-ssa, -gvn, -instcombine, -always-inline, -simplifycfg, -loop-unroll, -functionattrs,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG_corr_gen_c,128110,119585,"1,071288",906670,6529,-scalarrepl-ssa, -loop-rotate, -gvn, -loop-unswitch, -loop-reduce, -jump-threading, -loop-deletion, -instcombine,119585,-scalarrepl-ssa, -loop-rotate, -gvn, -loop-unswitch, -loop-reduce, -jump-threading, -loop-deletion, -instcombine,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
